id;name;child_ids
122;"[{""nl"" : ""Verkeerslicht""}, {""en"" : ""Traffic lights""}, {""fr"" : ""Feux de signalisation""}, {""de"" : ""Ampeln""}, {""es"" : ""Semáforo""}, {""ca"" : ""Semàfor""}]";
123;"[{""nl"" : ""Route start""}, {""en"" : ""Route start""}, {""fr"" : ""Début de route""}, {""de"" : ""Weganfang""}, {""es"" : ""Inicio de la Ruta""}, {""ca"" : ""Inici de la Ruta""}]";
124;"[{""nl"" : ""Landmark""}, {""en"" : ""Landmark""}, {""fr"" : ""Element marquant dans la nature""}, {""de"" : ""Grenzstein""}, {""es"" : ""Punto destacado""}, {""ca"" : ""Punt destacat""}]";[122, 127, 128, 136, 143, 151, 152, 164, 168, 183, 186, 187, 237, 265, 349, 445, 448, 516, 565, 567]
125;"[{""nl"" : ""Begraafplaats""}, {""fr"" : ""Cimetière""}, {""de"" : ""Kirchhof""}, {""es"" : ""Cementerio""}, {""ca"" : ""Cementiri""}, {""en"" : ""Cemetery""}]";[335, 374]
126;"[{""nl"" : ""Gebouw""}, {""en"" : ""Building""}, {""fr"" : ""Bâtiment""}, {""de"" : ""Gebäude""}, {""es"" : ""Edificio""}, {""ca"" : ""Edifici""}]";[16, 24, 32, 36, 41, 47, 48, 52, 55, 56, 68, 74, 75, 76, 96, 106, 127, 128, 129, 130, 133, 134, 135, 136, 137, 140, 141, 142, 143, 149, 150, 153, 155, 157, 158, 159, 160, 161, 162, 230, 235, 237, 238, 247, 259, 261, 265, 275, 280, 295, 296, 307, 308, 313, 316, 317, 327, 329, 336, 342, 348, 364, 367, 371, 393, 394, 400, 418, 427, 444, 457, 465, 466, 467, 470, 477, 485, 501, 504, 510, 511, 519]
127;"[{""nl"" : ""Abdij""}, {""en"" : ""Abbey""}, {""fr"" : ""Abbaye""}, {""de"" : ""Abtei""}, {""es"" : ""Abadía""}, {""ca"" : ""Abadia""}]";
128;"[{""nl"" : ""Kasteel""}, {""en"" : ""Castle""}, {""fr"" : ""Château""}, {""de"" : ""Schloss""}, {""es"" : ""Castillo""}, {""ca"" : ""Castell""}]";[133]
129;"[{""nl"" : ""Kapel""}, {""en"" : ""Chapel""}, {""fr"" : ""Chapelle""}, {""de"" : ""Kapelle""}, {""es"" : ""Capilla""}, {""ca"" : ""Capella""}]";
130;"[{""fr"" : ""Monastère""}, {""de"" : ""Kloster""}, {""es"" : ""Monasterio""}, {""ca"" : ""Monestir""}, {""nl"" : ""Klooster""}, {""en"" : ""Monastery""}]";
131;"[{""nl"" : ""Fabriek""}, {""en"" : ""Factory""}, {""fr"" : ""Usine""}, {""de"" : ""Fabrik""}, {""es"" : ""Fábrica""}, {""ca"" : ""Fàbrica""}]";
132;"[{""nl"" : ""Bedrijf""}, {""en"" : ""Company""}, {""fr"" : ""Entreprise""}, {""es"" : ""Empresa""}, {""ca"" : ""Empresa""}, {""de"" : ""Unternehmen""}]";
133;"[{""fr"" : ""Château fort""}, {""de"" : ""Festung""}, {""es"" : ""Fortaleza""}, {""ca"" : ""Fortalesa""}, {""nl"" : ""Burcht""}, {""en"" : ""Fortress""}]";[465]
134;"[{""nl"" : ""Koepel""}, {""en"" : ""Dome""}, {""fr"" : ""Tourelle""}, {""de"" : ""Haube""}, {""es"" : ""Cúpula""}, {""ca"" : ""Cúpula""}]";
